transaction_id,customer_id,date,total_items,unique_items,total_sales,discounted_sales,browsing_duration,number_of_clicks,age,gender,region,marital_status,education,household_income,loyalty_card,loyalty_points,month,transaction_status
TRID_16560,CID_10567,2020-01-13,4,3,7.28,6.58,4.11,7,56,Male,Suburban,Married,Post-Graduate,87000.0,No,0.0,January,True
TRID_80267,CID_6636,2020-02-23,3,2,13.2,5.54,3.93,8,76,Female,Urban,Single,Post-Graduate,52000.0,No,0.0,February,False
TRID_97430,CID_7372,2020-03-25,7,3,11.28,6.04,3.0,8,20,Male,Urban,Married,unknown,57500.0,No,0.0,March,True
TRID_17477,CID_7372,2020-01-09,13,3,13.36,7.51,5.68,13,20,Male,Urban,Married,unknown,57500.0,No,0.0,January,True
TRID_21692,CID_8576,2020-02-22,10,5,23.04,11.49,6.79,14,22,Female,Urban,Married,Graduate,36500.0,Yes,36.0,February,True
TRID_85424,CID_12312,2020-03-30,5,2,7.84,5.99,6.75,14,40,Female,Urban,Married,High School,73500.0,No,0.0,March,False
TRID_64674,CID_12312,2020-03-07,5,3,13.04,7.06,3.26,8,40,Female,Urban,Married,High School,73500.0,No,0.0,March,False
TRID_75451,CID_6460,2020-03-20,13,3,16.88,7.64,9.6,18,38,Female,Rural,Civil partnered,Post-Graduate,7500.0,No,0.0,March,True
TRID_20393,CID_6460,2020-03-26,5,4,20.16,8.74,8.53,18,38,Female,Rural,Civil partnered,Post-Graduate,7500.0,No,0.0,March,True
TRID_69636,CID_6056,2020-03-07,15,3,9.6,7.39,6.91,13,65,Male,Urban,Single,unknown,88500.0,No,0.0,March,True
TRID_49405,CID_11485,2020-01-20,3,3,9.12,6.52,7.98,15,29,Male,Rural,Married,unknown,39000.0,No,0.0,January,True
TRID_28623,CID_13132,2020-02-03,5,2,18.16,5.84,2.52,6,36,Female,Urban,Divorced,Graduate,43500.0,No,0.0,February,False
TRID_92481,CID_14656,2020-02-07,4,3,7.6,6.9,4.92,10,58,Male,Rural,Married,High School,22500.0,No,0.0,February,False
TRID_75824,CID_8099,2020-03-06,4,1,5.44,3.42,3.71,6,64,Female,Suburban,Single,High School,58000.0,No,0.0,March,False
TRID_95761,CID_11719,2020-03-23,8,2,9.84,4.68,5.46,11,40,Female,Urban,Married,High School,66500.0,No,0.0,March,False
TRID_70565,CID_11554,2020-02-16,6,4,12.4,8.63,5.89,11,51,Male,Rural,Married,Graduate,6500.0,No,0.0,February,True
TRID_76356,CID_10468,2020-02-14,8,3,8.0,7.48,5.9,11,49,Male,Suburban,Divorced,Graduate,74500.0,No,0.0,February,False
TRID_67815,CID_10468,2020-02-17,4,2,16.88,5.72,4.5,10,49,Male,Suburban,Divorced,Graduate,74500.0,No,0.0,February,False
TRID_35097,CID_10468,2020-01-04,6,4,26.08,9.11,3.45,7,49,Male,Suburban,Divorced,Graduate,74500.0,No,0.0,January,True
TRID_10581,CID_5719,2020-03-03,3,2,12.08,4.87,4.69,10,73,Female,Rural,Married,Post-Graduate,55000.0,No,0.0,March,True
TRID_50508,CID_13632,2020-03-13,5,3,16.8,6.7,7.77,16,38,Female,Rural,Married,High School,18000.0,No,0.0,March,False
TRID_37935,CID_13632,2020-01-29,6,4,29.04,9.36,9.53,18,38,Female,Rural,Married,High School,18000.0,No,0.0,January,True
TRID_7763,CID_7084,2020-01-07,13,3,15.6,7.72,3.25,7,50,Male,Rural,Single,High School,76000.0,No,0.0,January,True
TRID_84276,CID_7084,2020-01-31,5,0,6.96,1.71,2.94,7,50,Male,Rural,Single,High School,76000.0,No,0.0,January,False
TRID_86798,CID_7084,2020-03-14,5,4,21.36,8.32,10.72,20,50,Male,Rural,Single,High School,76000.0,No,0.0,March,False
TRID_14312,CID_7329,2020-03-11,4,4,12.64,9.79,5.32,10,63,Male,Suburban,Single,Graduate,53500.0,No,0.0,March,True
TRID_60492,CID_6177,2020-01-14,1,1,15.52,3.27,4.2,8,20,Male,Urban,Divorced,Graduate,30500.0,No,0.0,January,True
TRID_12709,CID_14276,2020-01-25,9,6,37.04,13.92,4.89,11,53,Male,Suburban,Divorced,Graduate,48500.0,No,0.0,January,True
TRID_32729,CID_14276,2020-03-14,6,2,10.32,5.39,5.07,11,53,Male,Suburban,Divorced,Graduate,48500.0,No,0.0,March,True
TRID_90771,CID_12298,2020-03-09,5,2,15.6,5.85,2.17,6,50,Male,Rural,Civil partnered,Graduate,52500.0,No,0.0,March,True
TRID_37922,CID_12298,2020-01-13,6,4,24.88,8.5,5.11,11,50,Male,Rural,Civil partnered,Graduate,52500.0,No,0.0,January,True
TRID_32679,CID_10653,2020-01-28,7,4,11.76,8.26,5.3,11,41,Female,Rural,Single,Graduate,50500.0,No,0.0,January,True
TRID_34766,CID_10653,2020-03-22,6,3,7.76,6.19,6.43,13,41,Female,Rural,Single,Graduate,50500.0,No,0.0,March,True
TRID_90338,CID_11632,2020-03-11,6,2,6.16,5.12,6.3,13,20,Female,Suburban,Married,Graduate,39500.0,No,0.0,March,True
TRID_30227,CID_11632,2020-02-04,6,4,19.04,8.64,9.16,17,20,Female,Suburban,Married,Graduate,39500.0,No,0.0,February,True
TRID_63222,CID_11609,2020-02-02,19,3,14.88,6.76,7.58,15,49,Male,Rural,Married,Graduate,49000.0,No,0.0,February,True
TRID_19322,CID_11609,2020-01-09,3,2,12.8,5.82,5.15,9,49,Male,Rural,Married,Graduate,49000.0,No,0.0,January,True
TRID_21440,CID_14096,2020-01-23,3,3,14.24,6.43,4.47,10,18,Female,Suburban,Single,Graduate,20000.0,Yes,9.0,January,True
TRID_9359,CID_6024,2020-02-11,6,3,13.68,6.18,4.54,11,19,Male,Suburban,Married,Post-Graduate,27500.0,Yes,5.0,February,True
TRID_82192,CID_14616,2020-02-22,4,3,15.44,7.27,8.93,17,51,Female,Rural,Divorced,Graduate,29500.0,No,0.0,February,False
TRID_49328,CID_11410,2020-02-18,3,3,18.8,6.23,6.07,12,41,Female,Urban,Divorced,High School,20000.0,Yes,5.0,February,False
TRID_84088,CID_6220,2020-02-12,5,4,11.36,8.64,3.45,7,21,Female,Suburban,Divorced,High School,66000.0,Yes,28.0,February,False
TRID_25996,CID_6220,2020-03-29,5,3,14.72,6.01,2.23,4,21,Female,Suburban,Divorced,High School,66000.0,Yes,28.0,March,False
TRID_8183,CID_7493,2020-03-20,3,3,13.28,6.48,5.59,12,24,Female,Urban,Married,Graduate,6000.0,No,0.0,March,True
TRID_6365,CID_11552,2020-03-23,5,3,8.88,6.31,6.53,12,72,Female,Suburban,Divorced,Graduate,14500.0,Yes,2.0,March,True
TRID_28080,CID_5997,2020-01-13,6,3,10.4,6.41,3.15,7,49,Male,Urban,Married,Graduate,20500.0,Yes,15.0,January,True
TRID_63546,CID_5164,2020-03-14,5,4,8.32,8.14,8.25,16,45,Male,Suburban,Single,Graduate,9500.0,Yes,2.0,March,True
TRID_59708,CID_5164,2020-03-10,4,3,11.92,6.22,3.19,7,45,Male,Suburban,Single,Graduate,9500.0,Yes,2.0,March,True
TRID_81607,CID_5164,2020-02-03,6,1,4.64,3.05,7.21,15,45,Male,Suburban,Single,Graduate,9500.0,Yes,2.0,February,False
TRID_37030,CID_14041,2020-03-01,16,2,17.68,4.77,7.72,15,35,Female,Suburban,Divorced,High School,25500.0,No,0.0,March,True
TRID_30146,CID_7900,2020-01-29,6,2,6.4,4.82,3.37,7,76,Female,Suburban,Married,unknown,66500.0,No,0.0,January,True
TRID_13081,CID_5232,2020-02-23,4,4,12.16,8.51,5.53,10,61,Female,Suburban,Divorced,Graduate,21500.0,Yes,34.0,February,False
TRID_80175,CID_5232,2020-03-04,4,4,17.84,8.34,6.41,13,61,Female,Suburban,Divorced,Graduate,21500.0,Yes,34.0,March,True
TRID_98374,CID_5745,2020-02-12,6,3,16.48,7.16,5.05,11,51,Male,Rural,Widowed,Graduate,6500.0,Yes,6.0,February,False
TRID_10775,CID_12217,2020-01-02,4,1,4.64,3.34,5.76,11,41,Male,Suburban,Divorced,Graduate,45500.0,No,0.0,January,True
TRID_71596,CID_12217,2020-02-28,5,3,19.68,7.2,4.52,9,41,Male,Suburban,Divorced,Graduate,45500.0,No,0.0,February,False
TRID_47546,CID_12217,2020-02-01,10,5,12.08,11.07,6.84,13,41,Male,Suburban,Divorced,Graduate,45500.0,No,0.0,February,True
TRID_25566,CID_12217,2020-01-11,4,4,22.8,8.39,9.01,17,41,Male,Suburban,Divorced,Graduate,45500.0,No,0.0,January,True
TRID_15014,CID_7353,2020-02-25,9,4,10.96,8.44,2.48,6,71,Male,Suburban,Divorced,Graduate,46500.0,No,0.0,February,False
TRID_25499,CID_7353,2020-01-13,4,4,9.76,8.45,5.25,10,71,Male,Suburban,Divorced,Graduate,46500.0,No,0.0,January,True
TRID_97634,CID_9085,2020-03-13,13,3,16.64,7.74,4.54,8,24,Female,Suburban,Widowed,High School,84000.0,No,0.0,March,True
TRID_90192,CID_7734,2020-03-26,7,3,9.76,6.97,7.58,14,37,Male,Suburban,Married,Graduate,6000.0,No,0.0,March,True
TRID_31872,CID_7734,2020-02-22,4,4,9.68,8.03,4.41,9,37,Male,Suburban,Married,Graduate,6000.0,No,0.0,February,True
TRID_50740,CID_9359,2020-03-28,2,2,6.56,5.76,3.26,7,37,Male,Suburban,Married,Graduate,36000.0,No,0.0,March,True
TRID_87068,CID_9359,2020-01-22,4,4,13.36,8.66,5.41,11,37,Male,Suburban,Married,Graduate,36000.0,No,0.0,January,True
TRID_41001,CID_5720,2020-02-19,6,3,19.28,6.41,6.92,14,40,Female,Suburban,Widowed,Post-Graduate,58500.0,Yes,18.0,February,False
TRID_99062,CID_5720,2020-01-13,8,4,14.8,9.99,4.71,9,40,Female,Suburban,Widowed,Post-Graduate,58500.0,Yes,18.0,January,False
TRID_23739,CID_6736,2020-01-04,7,3,10.72,7.98,5.72,11,65,Female,Rural,Divorced,High School,27000.0,Yes,6.0,January,False
TRID_21599,CID_13901,2020-02-22,3,3,7.68,7.58,7.06,15,34,Female,Suburban,Married,Graduate,36000.0,No,0.0,February,True
TRID_94248,CID_13901,2020-03-28,3,3,6.56,6.06,11.07,21,34,Female,Suburban,Married,Graduate,36000.0,No,0.0,March,True
TRID_42144,CID_9280,2020-03-13,4,3,10.8,7.73,4.77,8,63,Female,Suburban,Single,Graduate,69500.0,Yes,17.0,March,True
TRID_49291,CID_5820,2020-03-12,8,5,30.8,11.23,8.39,15,31,Female,Urban,Single,Post-Graduate,72000.0,No,0.0,March,True
TRID_33476,CID_7944,2020-01-17,3,3,12.48,7.87,7.42,14,54,Female,Suburban,Single,Post-Graduate,81000.0,Yes,33.0,January,True
TRID_4036,CID_13281,2020-02-13,3,1,14.32,3.14,6.89,14,23,Male,Suburban,Married,Graduate,25000.0,No,0.0,February,True
TRID_85113,CID_14249,2020-01-11,2,1,9.2,3.67,7.46,13,39,Female,Rural,Single,Graduate,40000.0,Yes,13.0,January,True
TRID_78164,CID_7896,2020-01-23,7,2,24.88,5.52,2.48,7,25,Female,Urban,Single,Graduate,66000.0,No,0.0,January,True
TRID_42807,CID_5497,2020-03-26,2,1,15.44,2.89,4.11,7,34,Male,Suburban,Civil partnered,Graduate,36500.0,Yes,11.0,March,True
TRID_37810,CID_7655,2020-01-20,5,4,12.08,9.26,5.74,11,39,Female,Urban,Married,Graduate,61500.0,Yes,20.0,January,True
TRID_83346,CID_5290,2020-01-27,3,3,16.32,6.34,3.03,7,69,Female,Suburban,Married,Post-Graduate,72500.0,No,0.0,January,True
TRID_68362,CID_5290,2020-01-06,4,3,19.44,6.66,4.08,8,69,Female,Suburban,Married,Post-Graduate,72500.0,No,0.0,January,True
TRID_39297,CID_5290,2020-03-12,3,3,8.96,7.12,3.55,7,69,Female,Suburban,Married,Post-Graduate,72500.0,No,0.0,March,True
TRID_62664,CID_8799,2020-02-07,2,1,14.24,3.86,1.06,4,63,Male,Suburban,Married,High School,21500.0,Yes,26.0,February,False
TRID_78957,CID_8799,2020-03-27,7,5,23.44,10.62,3.65,8,63,Male,Suburban,Married,High School,21500.0,Yes,26.0,March,False
TRID_87470,CID_6778,2020-01-30,7,3,17.28,6.97,6.44,13,48,Male,Suburban,Married,High School,11500.0,No,0.0,January,False
TRID_72051,CID_6778,2020-03-20,4,3,7.92,6.96,4.99,11,48,Male,Suburban,Married,High School,11500.0,No,0.0,March,False
TRID_83703,CID_6778,2020-02-26,4,4,8.64,8.6,3.85,7,48,Male,Suburban,Married,High School,11500.0,No,0.0,February,False
TRID_45851,CID_8408,2020-03-29,7,3,7.84,6.23,5.43,11,21,Female,Rural,Married,Graduate,28000.0,Yes,2.0,March,True
TRID_59340,CID_11030,2020-01-24,2,2,6.88,5.3,6.05,11,33,Male,Suburban,Divorced,High School,55500.0,No,0.0,January,False
TRID_96722,CID_11030,2020-02-02,4,4,8.88,8.29,2.66,8,33,Male,Suburban,Divorced,High School,55500.0,No,0.0,February,False
TRID_39825,CID_13365,2020-03-22,3,2,10.88,5.28,5.02,9,60,Male,Suburban,Married,Graduate,38500.0,Yes,37.0,March,True
TRID_14686,CID_6315,2020-01-05,17,4,13.2,8.72,5.36,11,47,Male,Rural,Divorced,Graduate,80000.0,Yes,11.0,January,True
TRID_43434,CID_6315,2020-01-31,5,3,13.76,6.78,7.3,15,47,Male,Rural,Divorced,Graduate,80000.0,Yes,11.0,January,True
TRID_88298,CID_10021,2020-01-21,6,3,9.44,7.29,5.55,12,55,Female,Suburban,Married,Graduate,30500.0,Yes,2.0,January,True
TRID_14513,CID_10021,2020-01-12,4,4,9.6,9.45,6.4,13,55,Female,Suburban,Married,Graduate,30500.0,Yes,2.0,January,True
TRID_32405,CID_12605,2020-02-17,3,3,7.04,6.71,7.24,14,45,Female,Suburban,Married,Graduate,68500.0,No,0.0,February,True
TRID_65660,CID_11650,2020-01-27,3,3,14.32,6.76,6.53,13,65,Male,Urban,Widowed,Graduate,69500.0,No,0.0,January,False
TRID_46161,CID_11650,2020-02-28,6,3,25.04,7.85,4.34,9,65,Male,Urban,Widowed,Graduate,69500.0,No,0.0,February,False
TRID_72686,CID_11650,2020-01-23,6,3,9.84,7.68,7.04,15,65,Male,Urban,Widowed,Graduate,69500.0,No,0.0,January,False
TRID_18712,CID_12013,2020-01-25,4,3,11.92,6.01,6.48,13,25,Female,Suburban,Divorced,Graduate,82500.0,No,0.0,January,True
TRID_51708,CID_12013,2020-01-31,4,4,9.92,8.12,8.4,16,25,Female,Suburban,Divorced,Graduate,82500.0,No,0.0,January,True
TRID_9218,CID_14448,2020-03-10,6,3,12.48,6.65,4.48,9,77,Male,Rural,Married,Graduate,76500.0,No,0.0,March,True
TRID_80993,CID_11054,2020-01-16,4,2,18.08,4.85,6.47,12,26,Male,Urban,Married,Graduate,31500.0,No,0.0,January,True
TRID_58598,CID_9873,2020-01-18,3,3,14.72,6.61,9.31,17,63,Male,Suburban,Married,unknown,6000.0,Yes,29.0,January,True
TRID_66015,CID_9873,2020-01-28,11,4,17.52,8.69,3.85,8,63,Male,Suburban,Married,unknown,6000.0,Yes,29.0,January,True
TRID_46494,CID_7085,2020-01-10,9,4,12.0,9.22,7.59,14,67,Female,Suburban,Married,Post-Graduate,52000.0,Yes,13.0,January,True
TRID_77173,CID_14531,2020-03-02,4,3,12.0,6.0,5.26,10,72,Female,Rural,Divorced,High School,53500.0,No,0.0,March,False
TRID_90318,CID_6332,2020-02-24,8,2,5.36,5.23,5.94,13,32,Male,Urban,Civil partnered,Graduate,52500.0,No,0.0,February,False
TRID_97033,CID_10665,2020-01-31,5,4,16.96,9.27,5.11,10,20,Male,Suburban,Married,Graduate,54000.0,Yes,16.0,January,True
TRID_4437,CID_8635,2020-01-24,4,2,9.6,5.63,9.36,17,46,Male,Suburban,Married,Post-Graduate,14000.0,Yes,6.0,January,True
TRID_63768,CID_6431,2020-02-10,4,2,7.28,5.94,9.49,18,65,Female,Urban,Divorced,Post-Graduate,32500.0,Yes,37.0,February,False
TRID_1141,CID_12693,2020-01-31,5,3,7.12,6.73,6.55,13,33,Male,Suburban,Divorced,Graduate,25500.0,No,0.0,January,True
TRID_31235,CID_6295,2020-03-23,5,3,12.48,7.37,5.61,10,19,Female,Rural,Married,High School,21500.0,Yes,38.0,March,False
TRID_45087,CID_6295,2020-01-21,5,2,9.04,5.92,5.19,10,19,Female,Rural,Married,High School,21500.0,Yes,38.0,January,False
TRID_66820,CID_11353,2020-01-15,14,2,17.68,4.25,7.04,14,56,Male,Suburban,Civil partnered,Graduate,14000.0,Yes,7.0,January,True
TRID_82211,CID_11353,2020-02-04,5,5,31.12,10.16,5.45,11,56,Male,Suburban,Civil partnered,Graduate,14000.0,Yes,7.0,February,True
TRID_30263,CID_10571,2020-03-19,4,2,6.48,5.66,8.28,17,56,Male,Suburban,Married,Graduate,33000.0,Yes,3.0,March,True
TRID_56034,CID_13178,2020-02-10,10,3,9.12,7.15,3.16,7,65,Female,Suburban,Divorced,Graduate,42000.0,Yes,26.0,February,True
TRID_22985,CID_5039,2020-01-26,7,2,31.04,4.77,2.92,7,19,Male,Rural,Divorced,Graduate,42500.0,Yes,26.0,January,True
TRID_23867,CID_7998,2020-03-19,3,3,13.44,6.52,7.6,16,70,Female,Urban,Divorced,Graduate,10000.0,No,0.0,March,True
TRID_79983,CID_7998,2020-03-21,11,4,20.96,9.02,5.02,10,70,Female,Urban,Divorced,Graduate,10000.0,No,0.0,March,True
TRID_13642,CID_5959,2020-03-09,5,3,10.56,7.28,7.09,14,26,Male,Suburban,Civil partnered,Graduate,73000.0,Yes,11.0,March,True
TRID_77128,CID_5959,2020-02-23,6,4,10.0,8.23,6.51,13,26,Male,Suburban,Civil partnered,Graduate,73000.0,Yes,11.0,February,False
TRID_47348,CID_12999,2020-01-23,4,3,8.8,7.05,5.52,10,36,Male,Suburban,Civil partnered,unknown,54000.0,No,0.0,January,True
TRID_46,CID_12999,2020-02-25,7,5,14.4,10.94,5.54,11,36,Male,Suburban,Civil partnered,unknown,54000.0,No,0.0,February,False
TRID_5615,CID_5027,2020-03-17,5,3,12.8,6.9,8.19,15,57,Female,Rural,Married,High School,45500.0,Yes,0.0,March,False
TRID_76578,CID_5027,2020-02-25,3,3,14.8,7.52,8.84,17,57,Female,Rural,Married,High School,45500.0,Yes,0.0,February,False
TRID_89382,CID_13655,2020-02-03,6,3,12.8,6.96,3.07,7,52,Female,Urban,Widowed,Post-Graduate,44000.0,Yes,22.0,February,False
TRID_63507,CID_14589,2020-01-01,5,4,12.88,9.22,5.12,10,57,Male,Suburban,Married,unknown,22000.0,Yes,19.0,January,True
TRID_91206,CID_7024,2020-01-14,7,5,14.08,10.64,4.38,10,44,Female,Suburban,Married,Graduate,35500.0,Yes,35.0,January,True
TRID_96664,CID_10715,2020-02-03,6,2,24.24,5.62,6.59,12,44,Female,Urban,Married,High School,62000.0,No,0.0,February,False
TRID_25899,CID_10729,2020-03-21,5,3,7.6,6.96,4.83,9,53,Female,Urban,Married,High School,54000.0,Yes,30.0,March,False
TRID_61046,CID_6899,2020-02-29,7,4,17.36,9.54,5.89,12,62,Female,Urban,Married,High School,80500.0,Yes,11.0,February,False
TRID_82904,CID_14064,2020-02-26,4,3,15.2,7.41,9.93,19,42,Female,Rural,Divorced,unknown,22500.0,No,0.0,February,False
TRID_40092,CID_6061,2020-02-11,8,2,10.16,4.14,9.25,20,19,Male,Suburban,Divorced,unknown,72500.0,Yes,14.0,February,False
TRID_2793,CID_10782,2020-01-14,5,3,10.4,7.61,2.68,7,24,Male,Urban,Single,Graduate,12000.0,Yes,12.0,January,True
TRID_73026,CID_12206,2020-02-29,11,3,20.08,6.72,4.05,8,47,Female,Suburban,Married,High School,82000.0,No,0.0,February,True
TRID_83309,CID_12206,2020-03-31,4,3,7.36,6.48,6.45,13,47,Female,Suburban,Married,High School,82000.0,No,0.0,March,False
TRID_39034,CID_6255,2020-02-16,5,4,13.28,9.02,7.6,15,69,Female,Suburban,Single,Graduate,77000.0,No,0.0,February,False
TRID_25105,CID_11106,2020-03-17,4,4,12.4,8.11,6.02,14,25,Male,Suburban,Single,High School,48000.0,No,0.0,March,False
TRID_62626,CID_11904,2020-03-23,4,4,20.56,8.33,7.03,13,75,Female,Rural,Married,Graduate,29000.0,Yes,21.0,March,True
TRID_92301,CID_11847,2020-01-03,5,5,12.4,10.16,6.66,12,66,Female,Rural,Widowed,Graduate,79500.0,Yes,22.0,January,False
TRID_5647,CID_11847,2020-03-18,5,1,25.12,3.6,5.13,11,66,Female,Rural,Widowed,Graduate,79500.0,Yes,22.0,March,False
TRID_20781,CID_7405,2020-01-01,5,2,13.6,5.74,5.39,11,20,Female,Rural,Married,High School,51000.0,Yes,3.0,January,False
TRID_73485,CID_9031,2020-01-02,5,2,22.08,5.38,5.65,12,54,Male,Urban,Single,Post-Graduate,64500.0,No,0.0,January,True
TRID_87789,CID_13777,2020-02-04,4,3,17.6,6.28,5.66,11,61,Male,Urban,Divorced,Graduate,47000.0,No,0.0,February,False
TRID_64204,CID_8893,2020-02-03,5,4,10.96,8.16,6.61,12,71,Male,Suburban,Married,Post-Graduate,68000.0,Yes,19.0,February,True
TRID_56314,CID_14067,2020-01-19,3,2,19.36,5.81,5.12,10,69,Male,Suburban,Married,High School,84500.0,Yes,16.0,January,False
TRID_84616,CID_14067,2020-02-24,3,2,15.2,5.54,4.81,10,69,Male,Suburban,Married,High School,84500.0,Yes,16.0,February,False
TRID_65389,CID_13484,2020-01-18,10,3,6.96,6.67,6.64,13,48,Male,Rural,Single,High School,16000.0,No,0.0,January,True
TRID_13177,CID_6213,2020-02-05,8,4,31.2,8.97,7.53,14,76,Male,Rural,Married,High School,74000.0,Yes,15.0,February,True
TRID_99544,CID_14542,2020-03-06,6,3,27.2,7.83,3.98,8,36,Female,Suburban,Civil partnered,Graduate,33000.0,No,0.0,March,True
TRID_1959,CID_12429,2020-03-14,4,3,17.92,7.7,6.06,11,75,Male,Urban,Single,High School,68500.0,No,0.0,March,False
TRID_83053,CID_7585,2020-02-12,5,3,8.08,6.93,7.08,14,41,Female,Rural,Widowed,Post-Graduate,67000.0,Yes,14.0,February,False
TRID_26729,CID_7585,2020-01-31,5,4,9.6,8.07,6.67,13,41,Female,Rural,Widowed,Post-Graduate,67000.0,Yes,14.0,January,False
TRID_28134,CID_7965,2020-01-17,4,4,11.44,8.42,5.65,11,47,Male,Rural,Married,High School,42500.0,Yes,33.0,January,False
TRID_59984,CID_7965,2020-01-25,11,3,17.68,7.01,4.28,9,47,Male,Rural,Married,High School,42500.0,Yes,33.0,January,True
TRID_28899,CID_7965,2020-02-22,6,4,10.24,8.09,8.61,18,47,Male,Rural,Married,High School,42500.0,Yes,33.0,February,False
TRID_58387,CID_5456,2020-02-29,3,2,8.88,4.79,3.81,8,60,Female,Suburban,Married,Graduate,50000.0,No,0.0,February,True
TRID_40306,CID_11560,2020-02-03,3,3,7.92,7.31,5.27,11,71,Female,Urban,Divorced,Graduate,13000.0,Yes,12.0,February,False
TRID_73006,CID_10226,2020-03-06,5,4,10.96,9.28,3.88,9,26,Female,Suburban,Single,Graduate,41500.0,Yes,17.0,March,True
TRID_16536,CID_14777,2020-03-07,5,4,16.72,9.21,5.51,10,26,Female,Suburban,Widowed,Graduate,5500.0,Yes,15.0,March,False
TRID_94346,CID_14777,2020-02-24,5,3,7.28,6.47,1.51,4,26,Female,Suburban,Widowed,Graduate,5500.0,Yes,15.0,February,False
TRID_5176,CID_8718,2020-01-27,15,4,9.44,9.04,7.99,16,40,Male,Rural,Single,Graduate,79500.0,No,0.0,January,True
TRID_36201,CID_8351,2020-03-10,11,3,13.52,7.7,5.06,11,68,Male,Suburban,Widowed,Post-Graduate,75000.0,Yes,14.0,March,True
TRID_66292,CID_8351,2020-02-08,3,3,9.52,7.08,8.79,16,68,Male,Suburban,Widowed,Post-Graduate,75000.0,Yes,14.0,February,False
TRID_62603,CID_14650,2020-03-22,4,3,10.8,7.35,6.52,14,19,Female,Suburban,Married,Post-Graduate,68500.0,No,0.0,March,True
TRID_59995,CID_14650,2020-02-26,17,2,22.88,5.28,8.01,14,19,Female,Suburban,Married,Post-Graduate,68500.0,No,0.0,February,True
TRID_85106,CID_6892,2020-01-22,4,4,17.92,9.01,5.61,11,31,Male,Urban,Married,Graduate,11000.0,Yes,17.0,January,True
TRID_26773,CID_10995,2020-03-12,6,3,13.84,7.53,4.81,11,31,Male,Suburban,Married,Graduate,62500.0,Yes,31.0,March,True
TRID_61648,CID_8501,2020-02-15,19,3,21.76,6.22,5.95,11,30,Female,Rural,Single,High School,45000.0,No,0.0,February,True
TRID_68316,CID_14066,2020-02-01,6,3,7.68,7.6,5.64,13,60,Female,Rural,Single,Post-Graduate,46000.0,No,0.0,February,False
TRID_38117,CID_14066,2020-03-05,4,2,11.04,5.8,2.28,6,60,Female,Rural,Single,Post-Graduate,46000.0,No,0.0,March,True
TRID_78934,CID_10650,2020-02-13,4,3,9.2,6.93,4.68,10,23,Female,Suburban,Married,Graduate,52500.0,Yes,6.0,February,True
TRID_82485,CID_10887,2020-03-17,4,3,8.8,7.52,4.43,9,72,Male,Suburban,Married,High School,71500.0,Yes,4.0,March,False
TRID_95763,CID_12636,2020-02-05,7,4,14.96,9.86,2.34,5,73,Male,Suburban,Married,Graduate,68000.0,Yes,8.0,February,True
TRID_83106,CID_6126,2020-01-17,4,4,10.4,9.72,3.25,8,50,Male,Rural,Single,Graduate,77500.0,Yes,26.0,January,True
TRID_67033,CID_8750,2020-01-07,2,2,14.72,4.29,7.5,15,70,Male,Rural,Divorced,Graduate,28500.0,Yes,36.0,January,True
