Customer ID,Age,Gender,Region,Marital Status,Education,Household Income,Loyalty Card,Loyalty Points
CID_8303,71,Male,Suburban,Civil partnered,NA,86000.0,0,NA
CID_11032,28,Male,Suburban,Civil partnered,High School,64500.0,0,NA
CID_10533,29,Female,Rural,Married,Graduate,67500.0,1,16
CID_6144,70,Female,Suburban,Married,High School,12000.0,0,NA
CID_6339,74,Female,Urban,Divorced,Graduate,46000.0,1,17
CID_7269,36,Female,Suburban,Married,Post-Graduate,34000.0,0,NA
CID_8289,34,Male,Urban,Divorced,NA,49500.0,0,NA
CID_12880,55,Female,Rural,Single,High School,85500.0,1,17
CID_7191,61,Male,Suburban,Married,Graduate,25500.0,1,0
CID_7329,63,Male,Suburban,Single,Graduate,53500.0,0,NA
CID_14650,19,Female,Suburban,Married,Post-Graduate,68500.0,0,NA
CID_12567,46,Female,Suburban,Widowed,High School,53000.0,1,9
CID_10915,39,Female,Rural,Married,High School,10500.0,1,21
CID_8771,40,Male,Suburban,Single,High School,16000.0,0,NA
CID_12329,71,Female,Suburban,Single,Post-Graduate,44000.0,1,7
CID_6606,63,Female,Urban,Married,Graduate,39500.0,1,21
CID_9937,67,Male,Suburban,Divorced,Graduate,9000.0,1,16
CID_14927,68,Female,Suburban,Married,Post-Graduate,67000.0,1,14
CID_8718,40,Male,Rural,Single,Graduate,79500.0,0,NA
CID_10413,21,Male,Suburban,Divorced,NA,17500.0,0,NA
CID_9802,20,Female,Suburban,Married,Graduate,57500.0,0,NA
CID_7378,27,Male,Suburban,Married,Graduate,32500.0,1,13
CID_12007,55,Female,Suburban,Married,High School,36000.0,0,NA
CID_11788,50,Female,Suburban,Married,Graduate,35500.0,0,NA
CID_7247,40,Female,Suburban,Married,Post-Graduate,65500.0,1,9
CID_7155,20,Male,Suburban,Married,High School,7500.0,1,1
CID_5793,36,Female,Urban,Married,Post-Graduate,34500.0,1,10
CID_9772,62,Female,Suburban,Married,Post-Graduate,13000.0,0,NA
CID_14933,43,Male,Suburban,Married,High School,44500.0,0,NA
CID_14575,71,Female,Suburban,Divorced,High School,69500.0,0,NA
CID_10059,62,Male,Rural,Divorced,Graduate,6500.0,1,19
CID_10641,75,Male,Suburban,Married,Post-Graduate,74500.0,0,NA
CID_14067,69,Male,Suburban,Married,High School,84500.0,1,16
CID_9990,34,Male,Urban,Single,NA,8000.0,0,NA
CID_9574,30,Female,Suburban,Married,High School,72500.0,1,24
CID_5027,57,Female,Rural,Married,High School,45500.0,1,0
CID_10989,29,Male,Urban,Widowed,Graduate,9000.0,0,NA
CID_13193,54,Male,Rural,Married,Graduate,7500.0,0,NA
CID_10198,56,Male,Suburban,Married,High School,16500.0,1,21
CID_10453,39,Male,Rural,Married,Post-Graduate,79000.0,0,NA
CID_12102,50,Female,Suburban,Married,High School,71000.0,1,20
CID_5499,77,Female,Urban,Married,Post-Graduate,71000.0,1,24
CID_5346,62,Male,Suburban,Married,High School,89500.0,0,NA
CID_7241,40,Male,Suburban,Married,Graduate,71500.0,1,26
CID_12509,57,Male,Suburban,Divorced,Graduate,9000.0,0,NA
CID_8962,22,Male,Urban,Married,Graduate,12000.0,0,NA
CID_6223,19,Male,Suburban,Divorced,NA,54500.0,0,NA
CID_11192,26,Male,Suburban,Married,NA,84000.0,1,13
CID_11071,63,Female,Urban,Married,Graduate,38000.0,0,NA
CID_13527,51,Male,Urban,Divorced,Graduate,44000.0,0,NA
CID_10894,72,Female,Suburban,Married,Graduate,26000.0,0,NA
CID_14842,58,Female,Urban,Married,Graduate,80500.0,1,30
CID_12968,54,Female,Urban,Married,High School,64500.0,0,NA
CID_8098,59,Male,Urban,Married,Graduate,82000.0,1,10
CID_5938,36,Male,Suburban,Single,NA,17000.0,0,NA
CID_8606,57,Male,Suburban,Married,Post-Graduate,23000.0,0,NA
CID_9321,74,Male,Rural,Divorced,Graduate,30500.0,0,NA
CID_13592,77,Female,Suburban,Married,Graduate,60500.0,0,NA
CID_8245,28,Male,Urban,Married,Graduate,65000.0,0,NA
CID_14448,77,Male,Rural,Married,Graduate,76500.0,0,NA
CID_9049,22,Male,Suburban,Married,High School,84000.0,1,43
CID_14807,77,Female,Suburban,Married,Graduate,59500.0,0,NA
CID_9080,42,Female,Suburban,Divorced,High School,63000.0,1,7
CID_7140,25,Male,Urban,Married,Graduate,41500.0,1,52
CID_13159,19,Male,Suburban,Divorced,Graduate,28000.0,0,NA
CID_13974,41,Male,Urban,Divorced,Post-Graduate,31000.0,1,17
CID_8279,56,Male,Rural,Married,Graduate,62000.0,0,NA
CID_12579,43,Male,Suburban,Married,Post-Graduate,68500.0,1,20
CID_8408,21,Female,Rural,Married,Graduate,28000.0,1,2
CID_7959,23,Male,Suburban,Single,Graduate,18000.0,1,22
CID_11368,64,Male,Suburban,Divorced,Graduate,33000.0,0,NA
CID_6177,20,Male,Urban,Divorced,Graduate,30500.0,0,NA
CID_5387,57,Male,Suburban,Civil partnered,NA,41000.0,1,37
CID_8610,69,Male,Urban,Single,Graduate,54000.0,0,NA
CID_10980,19,Male,Urban,Married,Graduate,28000.0,1,25
CID_13369,39,Female,Suburban,Married,High School,19000.0,0,NA
CID_8950,29,Female,Suburban,Married,Graduate,12500.0,0,NA
CID_13123,63,Male,Rural,Single,Graduate,54500.0,1,8
CID_8295,18,Male,Rural,Married,Post-Graduate,43000.0,1,23
CID_5224,54,Female,Suburban,Married,Graduate,65000.0,1,6
CID_11657,52,Female,Urban,Married,NA,64000.0,0,NA
CID_14241,23,Female,Urban,Married,Post-Graduate,52500.0,0,NA
CID_13623,37,Female,Rural,Single,High School,45000.0,1,2
CID_5302,18,Female,Rural,Married,Graduate,37500.0,0,NA
CID_11171,31,Male,Rural,Married,Graduate,26500.0,1,16
CID_7994,67,Female,Rural,Married,Graduate,69500.0,0,NA
CID_7114,34,Female,Urban,Single,Graduate,84500.0,1,17
CID_12384,38,Female,Rural,Divorced,Graduate,69000.0,0,NA
CID_8112,34,Female,Urban,Single,Graduate,77000.0,0,NA
CID_11649,75,Male,Urban,Divorced,High School,26500.0,1,3
CID_7698,71,Male,Rural,Widowed,High School,7000.0,1,20
CID_10782,24,Male,Urban,Single,Graduate,12000.0,1,12
CID_7673,58,Female,Suburban,Widowed,Graduate,78500.0,1,3
CID_12527,18,Male,Suburban,Single,NA,29000.0,0,NA
CID_14364,44,Male,Urban,Divorced,Graduate,6000.0,0,NA
CID_13670,31,Female,Urban,Married,Post-Graduate,67000.0,1,27
CID_12465,57,Male,Urban,Married,Post-Graduate,26500.0,1,16
CID_11410,41,Female,Urban,Divorced,High School,20000.0,1,5
CID_12237,72,Female,Suburban,Widowed,High School,55500.0,0,NA
CID_5588,61,Male,Suburban,Married,High School,14000.0,0,NA
CID_10296,75,Male,Suburban,Divorced,Graduate,23500.0,0,NA
CID_12451,54,Male,Suburban,Divorced,Graduate,58500.0,1,3
CID_7380,61,Female,Suburban,Widowed,Graduate,17000.0,0,NA
CID_13711,58,Male,Rural,Married,High School,77500.0,1,10
CID_11487,69,Male,Rural,Divorced,High School,21000.0,1,16
CID_6902,40,Female,Rural,Divorced,NA,22500.0,0,NA
CID_12055,41,Female,Suburban,Single,High School,84500.0,1,8
CID_10074,35,Female,Rural,Married,NA,33000.0,0,NA
CID_9700,62,Male,Suburban,Married,Graduate,65000.0,0,NA
CID_13976,76,Male,Suburban,Single,Post-Graduate,59000.0,1,19
CID_11030,33,Male,Suburban,Divorced,High School,55500.0,0,NA
CID_9226,25,Female,Suburban,Single,Post-Graduate,51000.0,1,15
CID_14335,35,Male,Suburban,Married,High School,70500.0,0,NA
CID_12775,60,Female,Suburban,Divorced,Graduate,34500.0,1,26
CID_7940,46,Female,Rural,Married,Post-Graduate,6500.0,0,NA
CID_6672,77,Female,Suburban,Married,Graduate,40500.0,0,NA
CID_13218,21,Female,Suburban,Single,Graduate,12000.0,1,23
CID_14975,38,Female,Suburban,Widowed,Post-Graduate,6500.0,0,NA
CID_7486,49,Male,Urban,Civil partnered,Graduate,6000.0,0,NA
CID_12056,64,Male,Suburban,Civil partnered,Graduate,77000.0,0,NA
CID_6705,57,Male,Rural,Married,High School,11500.0,0,NA
CID_5384,20,Male,Urban,Widowed,Graduate,77000.0,0,NA
CID_12012,67,Male,Urban,Divorced,High School,44000.0,1,23
CID_9691,47,Male,Urban,Civil partnered,Post-Graduate,7500.0,0,NA
CID_11832,42,Male,Rural,Divorced,Graduate,6500.0,1,6
CID_10182,27,Female,Rural,Divorced,Graduate,77500.0,1,17
CID_6028,18,Male,Urban,Married,NA,77500.0,1,22
CID_9248,52,Male,Rural,Married,Post-Graduate,84000.0,1,0
CID_9037,53,Male,Suburban,Civil partnered,Post-Graduate,86000.0,1,10
CID_7826,68,Male,Urban,Widowed,High School,85000.0,0,NA
CID_9075,73,Male,Suburban,Widowed,Post-Graduate,86500.0,1,8
CID_6704,24,Female,Urban,Married,Post-Graduate,34500.0,1,10
CID_11279,46,Male,Urban,Widowed,Graduate,8000.0,0,NA
CID_8125,62,Female,Rural,Married,Graduate,60000.0,1,6
CID_5056,24,Male,Suburban,Single,Graduate,55500.0,0,NA
CID_10950,34,Female,Suburban,Divorced,Post-Graduate,34500.0,0,NA
CID_10954,24,Female,Urban,Single,Graduate,27500.0,0,NA
CID_13853,60,Male,Suburban,Divorced,High School,50000.0,1,11
CID_12395,46,Male,Urban,Married,Graduate,29000.0,0,NA
CID_14246,24,Female,Suburban,Divorced,Graduate,55000.0,1,15
CID_6289,56,Male,Suburban,Divorced,Graduate,29000.0,0,NA
CID_9725,18,Female,Rural,Single,Graduate,79000.0,1,12
CID_11785,25,Female,Urban,Married,High School,37000.0,1,34
CID_9475,41,Female,Rural,Civil partnered,Graduate,10000.0,0,NA
CID_13416,57,Female,Rural,Single,Graduate,75000.0,0,NA
CID_11607,71,Male,Rural,Single,Graduate,71000.0,0,NA
CID_6637,50,Female,Urban,Single,Graduate,33500.0,1,25
CID_10717,69,Female,Rural,Civil partnered,High School,69000.0,0,NA
CID_13206,72,Female,Suburban,Single,Graduate,57500.0,0,NA
CID_6435,36,Female,Rural,Single,Graduate,24000.0,0,NA
CID_11602,77,Male,Rural,Civil partnered,High School,29000.0,1,11
CID_12596,27,Female,Suburban,Married,Graduate,28500.0,0,NA
CID_7746,47,Female,Suburban,Divorced,Post-Graduate,10000.0,0,NA
CID_13663,67,Female,Urban,Married,Graduate,51500.0,1,31
CID_13093,28,Female,Urban,Single,High School,49500.0,0,NA
CID_14928,61,Female,Suburban,Married,High School,12500.0,1,13
CID_6913,51,Female,Suburban,Divorced,Post-Graduate,61500.0,0,NA
CID_14472,66,Male,Urban,Married,High School,48000.0,0,NA
CID_9803,36,Female,Urban,Divorced,Graduate,47500.0,0,NA
CID_13933,18,Male,Suburban,Divorced,High School,89000.0,1,15
CID_10762,73,Male,Urban,Civil partnered,Post-Graduate,59500.0,1,26
CID_7151,20,Male,Suburban,Single,High School,12000.0,0,NA
CID_12371,42,Female,Rural,Married,NA,22500.0,0,NA
CID_5041,62,Male,Suburban,Civil partnered,High School,37500.0,0,NA
CID_7630,18,Male,Urban,Single,High School,10000.0,0,NA
CID_11842,71,Female,Rural,Married,Post-Graduate,78500.0,0,NA
CID_12716,26,Male,Rural,Single,Graduate,25000.0,0,NA
CID_5290,69,Female,Suburban,Married,Post-Graduate,72500.0,0,NA
CID_9302,72,Female,Suburban,Married,Graduate,48000.0,1,18
CID_7591,69,Female,Suburban,Widowed,Graduate,29500.0,1,14
CID_6543,19,Male,Rural,Divorced,High School,76500.0,1,18
CID_7201,21,Female,Suburban,Single,High School,69500.0,0,NA
CID_14816,51,Female,Suburban,Married,Post-Graduate,8000.0,0,NA
CID_8088,42,Female,Rural,Widowed,Graduate,19500.0,0,NA
CID_7158,49,Female,Urban,Civil partnered,NA,79500.0,1,16
CID_10909,40,Male,Rural,Single,Graduate,50000.0,1,30
CID_7615,31,Male,Urban,Divorced,Post-Graduate,84500.0,1,18
CID_12547,55,Male,Urban,Divorced,Graduate,33000.0,1,15
CID_6880,24,Female,Urban,Married,Graduate,79500.0,1,16
CID_9849,22,Male,Suburban,Divorced,Graduate,53000.0,1,6
CID_13534,30,Male,Urban,Married,Post-Graduate,52500.0,0,NA
CID_9178,71,Female,Suburban,Divorced,Post-Graduate,48500.0,1,8
CID_8502,54,Female,Suburban,Divorced,Graduate,63500.0,1,15
CID_6114,27,Female,Urban,Married,High School,73500.0,1,10
CID_5475,53,Female,Suburban,Married,Graduate,78000.0,1,24
CID_13656,55,Female,Rural,Married,High School,49500.0,1,25
CID_8956,24,Female,Rural,Married,High School,39500.0,0,NA
CID_6836,59,Female,Rural,Divorced,Post-Graduate,78500.0,0,NA
CID_12458,43,Male,Suburban,Single,Post-Graduate,11500.0,1,13
CID_6315,47,Male,Rural,Divorced,Graduate,80000.0,1,11
CID_5797,37,Female,Urban,Married,Graduate,53000.0,0,NA
CID_12040,58,Female,Suburban,Single,High School,10000.0,0,NA
CID_14255,33,Female,Suburban,Widowed,High School,71000.0,1,28
CID_14044,69,Male,Rural,Married,Graduate,55500.0,0,NA
CID_8831,54,Female,Urban,Married,High School,37000.0,1,20
CID_9900,21,Male,Suburban,Married,Graduate,57500.0,0,NA
CID_13296,45,Male,Suburban,Divorced,High School,69500.0,1,17
CID_9513,63,Female,Rural,Divorced,Post-Graduate,14500.0,1,0
CID_7026,66,Female,Suburban,Civil partnered,NA,71500.0,1,19
CID_10038,70,Female,Urban,Civil partnered,Graduate,58000.0,0,NA
CID_9588,58,Female,Suburban,Single,High School,67000.0,0,NA
CID_7126,71,Female,Urban,Single,High School,39500.0,0,NA
CID_6377,38,Male,Urban,Single,Post-Graduate,11500.0,0,NA
CID_13020,33,Male,Suburban,Widowed,Graduate,48000.0,0,NA
CID_10090,43,Female,Rural,Married,Post-Graduate,89000.0,1,4
CID_6642,65,Male,Suburban,Married,High School,64500.0,1,7
CID_9654,36,Female,Suburban,Single,Post-Graduate,71500.0,1,27
CID_14826,46,Female,Suburban,Married,Post-Graduate,48500.0,0,NA
CID_8025,65,Male,Rural,Married,Graduate,25500.0,0,NA
CID_5214,47,Female,Suburban,Widowed,Graduate,62000.0,1,16
CID_10149,40,Female,Rural,Divorced,Graduate,15000.0,0,NA
CID_5258,36,Male,Suburban,Single,Graduate,55500.0,0,NA
CID_12249,19,Male,Rural,Married,Graduate,42000.0,1,16
CID_13989,44,Male,Urban,Married,Graduate,72000.0,1,0
CID_14705,75,Female,Suburban,Single,Graduate,65500.0,0,NA
CID_5604,27,Female,Rural,Single,Graduate,65500.0,0,NA
CID_14030,28,Male,Rural,Married,Graduate,66000.0,0,NA
CID_12737,28,Male,Suburban,Married,Graduate,14500.0,0,NA
CID_14565,53,Female,Urban,Married,Graduate,71500.0,1,10
CID_12255,55,Male,Suburban,Single,Post-Graduate,79000.0,0,NA
CID_14670,38,Male,Urban,Married,Graduate,64000.0,1,22
CID_12633,19,Male,Suburban,Divorced,Post-Graduate,62500.0,0,NA
CID_12054,70,Female,Suburban,Divorced,Post-Graduate,26000.0,0,NA
CID_14775,37,Female,Rural,Married,Graduate,70000.0,0,NA
CID_7742,55,Male,Rural,Married,Graduate,66500.0,0,NA
CID_6234,30,Male,Rural,Single,Graduate,20000.0,1,32
CID_10510,53,Male,Suburban,Married,Graduate,37500.0,0,NA
CID_14095,53,Male,Suburban,Married,High School,67500.0,1,11
CID_11167,41,Male,Rural,Divorced,Post-Graduate,89000.0,0,NA
CID_13046,69,Female,Urban,Divorced,Graduate,83000.0,1,25
CID_14610,53,Female,Rural,Widowed,High School,12000.0,0,NA
CID_11540,55,Male,Suburban,Single,Post-Graduate,57000.0,1,13
CID_13028,55,Male,Rural,Widowed,High School,21500.0,1,21
CID_10478,50,Female,Suburban,Single,High School,44000.0,0,NA
CID_14019,29,Female,Suburban,Married,Graduate,37500.0,1,22
CID_13328,35,Female,Rural,Civil partnered,Post-Graduate,23000.0,0,NA
CID_7390,61,Male,Rural,Single,High School,48000.0,0,NA
CID_6083,32,Female,Suburban,Divorced,Graduate,17000.0,1,32
CID_6819,18,Male,Urban,Divorced,High School,29500.0,0,NA
CID_6262,19,Female,Urban,Married,Post-Graduate,11000.0,0,NA
CID_6656,51,Female,Suburban,Married,Graduate,57500.0,1,35
CID_9507,47,Male,Suburban,Single,Graduate,84500.0,1,12
CID_12679,22,Female,Urban,Widowed,High School,55000.0,1,22
CID_13725,55,Male,Rural,Single,High School,69000.0,0,NA
CID_5670,25,Male,Suburban,Married,Graduate,57000.0,1,8
CID_14690,51,Female,Suburban,Single,Post-Graduate,64500.0,0,NA
CID_8356,63,Male,Suburban,Married,Graduate,7000.0,0,NA
CID_12605,45,Female,Suburban,Married,Graduate,68500.0,0,NA
CID_6765,67,Male,Urban,Divorced,Graduate,19000.0,1,4
CID_11452,62,Female,Urban,Married,High School,17000.0,1,11
CID_11114,40,Female,Rural,Married,Graduate,60000.0,1,26
CID_10465,47,Male,Suburban,Widowed,NA,26000.0,0,NA
CID_7549,47,Female,Suburban,Married,High School,40000.0,0,NA
CID_12920,56,Male,Urban,Married,Graduate,56000.0,1,10
CID_13150,28,Female,Suburban,Civil partnered,High School,11000.0,1,5
CID_10715,44,Female,Urban,Married,High School,62000.0,0,NA
CID_10691,39,Female,Rural,Widowed,Graduate,65500.0,0,NA
CID_11814,25,Male,Suburban,Divorced,High School,86500.0,1,20
CID_8357,74,Female,Rural,Married,NA,59000.0,0,NA
CID_12267,38,Male,Suburban,Divorced,High School,15500.0,1,15
CID_7040,52,Female,Urban,Civil partnered,Graduate,27500.0,0,NA
CID_11264,62,Male,Rural,Married,Post-Graduate,27500.0,0,NA
CID_8325,37,Female,Suburban,Widowed,Graduate,73000.0,1,47
CID_10869,28,Male,Suburban,Married,Graduate,9500.0,1,25
CID_11632,20,Female,Suburban,Married,Graduate,39500.0,0,NA
CID_12382,43,Female,Suburban,Married,Graduate,60000.0,1,29
CID_11383,21,Female,Suburban,Married,Graduate,67500.0,1,13
CID_13119,23,Male,Rural,Widowed,High School,74500.0,1,17
CID_13023,74,Female,Suburban,Civil partnered,Post-Graduate,74500.0,0,NA
CID_11874,32,Female,Rural,Married,Graduate,45000.0,1,14
CID_12118,46,Male,Suburban,Married,Graduate,30500.0,0,NA
CID_6078,45,Male,Suburban,Married,NA,38500.0,0,NA
CID_14511,27,Female,Urban,Married,NA,56500.0,0,NA
CID_13626,57,Male,Urban,Divorced,High School,87000.0,1,11
CID_5788,73,Female,Urban,Single,Post-Graduate,11500.0,1,5
CID_12067,59,Female,Urban,Married,Graduate,8000.0,0,NA
CID_10455,75,Female,Suburban,Married,High School,76500.0,1,39
CID_9208,31,Female,Suburban,Married,Post-Graduate,29000.0,0,NA
CID_6892,31,Male,Urban,Married,Graduate,11000.0,1,17
CID_12756,71,Male,Suburban,Married,Graduate,68500.0,0,NA
CID_8655,69,Female,Rural,Married,Graduate,63500.0,1,0
CID_6976,71,Male,Suburban,Divorced,Graduate,53500.0,1,29
CID_12647,37,Female,Urban,Married,Post-Graduate,12000.0,0,NA
CID_9752,48,Male,Urban,Married,Graduate,60000.0,0,NA
CID_12556,34,Male,Suburban,Divorced,High School,28500.0,1,23
CID_13379,46,Male,Rural,Married,Graduate,79000.0,0,NA
CID_5412,37,Female,Rural,Single,High School,21500.0,0,NA
CID_10111,64,Female,Rural,Married,High School,37000.0,0,NA
CID_11523,45,Female,Urban,Widowed,Graduate,88500.0,1,26
CID_14098,49,Female,Rural,Married,NA,67500.0,1,26
CID_5142,29,Female,Urban,Married,Graduate,86000.0,1,24
CID_14132,46,Male,Suburban,Divorced,Graduate,40500.0,1,20
CID_14583,22,Male,Suburban,Single,Graduate,73500.0,1,14
CID_8461,20,Male,Urban,Divorced,Graduate,71500.0,1,7
CID_13009,61,Female,Urban,Married,High School,44000.0,0,NA
CID_6226,77,Male,Suburban,Widowed,Graduate,79500.0,0,NA
CID_12842,48,Female,Suburban,Widowed,High School,86000.0,1,0
CID_14251,58,Male,Suburban,Widowed,Graduate,60000.0,0,NA
CID_9062,69,Female,Rural,Married,High School,25500.0,0,NA
CID_12042,56,Male,Urban,Divorced,Graduate,87000.0,0,NA
CID_7418,32,Male,Suburban,Divorced,NA,19000.0,1,40
CID_12093,25,Female,Rural,Single,High School,40500.0,0,NA
CID_5820,31,Female,Urban,Single,Post-Graduate,72000.0,0,NA
CID_11719,40,Female,Urban,Married,High School,66500.0,0,NA
CID_7610,25,Male,Rural,Married,Graduate,65000.0,0,NA
CID_6742,45,Female,Urban,Married,High School,61000.0,0,NA
CID_10147,69,Male,Rural,Divorced,High School,9000.0,1,7
CID_8761,55,Female,Urban,Married,Graduate,54000.0,1,9
CID_5024,24,Female,Suburban,Single,High School,39000.0,1,18
CID_11323,23,Female,Urban,Single,Graduate,63500.0,0,NA
CID_7820,76,Male,Suburban,Married,Post-Graduate,87000.0,0,NA
CID_9230,44,Male,Suburban,Divorced,NA,9500.0,0,NA
CID_13354,32,Female,Suburban,Married,Post-Graduate,81000.0,1,30
CID_10649,59,Male,Suburban,Married,High School,70000.0,1,6
CID_8684,39,Female,Suburban,Married,High School,80000.0,0,NA
CID_7144,28,Male,Suburban,Married,High School,31500.0,1,32
CID_10702,22,Female,Suburban,Divorced,High School,58500.0,0,NA
CID_14649,19,Female,Rural,Single,NA,6500.0,0,NA
CID_6821,52,Female,Suburban,Married,Graduate,36500.0,1,7
CID_10178,34,Male,Suburban,Widowed,Post-Graduate,40000.0,1,31
CID_14707,75,Female,Rural,Married,Graduate,36500.0,1,33
CID_10025,24,Male,Suburban,Married,Graduate,66000.0,1,16
CID_13310,74,Male,Rural,Divorced,Graduate,85000.0,1,6
CID_12940,71,Male,Rural,Married,Graduate,84000.0,1,7
CID_8136,29,Female,Urban,Divorced,Post-Graduate,58500.0,1,44
CID_12973,52,Male,Rural,Single,Post-Graduate,74000.0,1,23
CID_13915,47,Female,Rural,Married,NA,49500.0,0,NA
CID_13080,75,Male,Urban,Married,High School,43500.0,0,NA
CID_6061,19,Male,Suburban,Divorced,NA,72500.0,1,14
CID_7385,52,Female,Suburban,Married,Graduate,46500.0,0,NA
CID_14619,48,Male,Rural,Married,Post-Graduate,41500.0,1,37
CID_12508,30,Female,Suburban,Married,Graduate,80000.0,1,18
CID_10384,53,Male,Rural,Single,Graduate,86000.0,0,NA
CID_6271,27,Female,Urban,Civil partnered,Graduate,39500.0,0,NA
CID_7608,21,Female,Rural,Married,High School,50500.0,0,NA
CID_7265,35,Male,Suburban,Widowed,Graduate,69000.0,1,26
CID_13883,70,Male,Suburban,Single,Graduate,26000.0,0,NA
CID_8596,31,Male,Suburban,Married,Graduate,51500.0,0,NA
CID_13805,29,Female,Suburban,Divorced,Graduate,40500.0,0,NA
CID_7353,71,Male,Suburban,Divorced,Graduate,46500.0,0,NA
CID_12386,31,Female,Suburban,Civil partnered,High School,77000.0,0,NA
CID_13404,63,Female,Rural,Married,Graduate,85000.0,1,34
CID_13882,62,Male,Urban,Divorced,Graduate,81500.0,0,NA
CID_6802,47,Male,Urban,Married,Post-Graduate,75500.0,0,NA
CID_9547,31,Male,Suburban,Divorced,Post-Graduate,79000.0,1,28
CID_6890,77,Female,Suburban,Married,Post-Graduate,81500.0,0,NA
CID_13034,43,Female,Urban,Married,Graduate,55500.0,1,25
CID_6034,19,Male,Rural,Civil partnered,Graduate,28500.0,0,NA
