Transaction ID,Customer ID,Date,Total Items,Unique Items,Total Sales,Discounted Sales,Browsing Duration (minutes),Number of Clicks,Incomplete Transaction
TRID_65244,CID_14379,2020-01-04,3,2,27.36,4.96,7.18,15,1
TRID_72277,CID_12038,2020-02-14,3,2,12.88,5.21,1.23,4,1
TRID_68684,CID_7764,2020-02-20,4,2,10.24,5.42,5.83,12,0
TRID_82118,CID_10954,2020-01-13,9,2,5.12,4.62,5.59,11,1
TRID_10239,CID_7339,2020-01-10,3,3,7.92,7.15,2.42,7,0
TRID_54932,CID_7894,2020-01-19,3,3,14.88,6.84,3.63,9,0
TRID_27779,CID_8356,2020-03-12,8,5,15.68,10.24,6.36,13,0
TRID_42787,CID_10466,2020-02-04,3,3,15.84,7.26,4.8,8,0
TRID_38001,CID_5276,2020-03-23,2,2,7.2,4.99,6.66,12,0
TRID_14793,CID_11874,2020-01-06,5,3,8.96,7.61,5.96,13,1
TRID_86586,CID_11697,2020-03-13,3,2,24.24,5.96,6.46,11,1
TRID_85439,CID_9567,2020-02-18,9,4,18.8,8.89,4.37,9,0
TRID_72473,CID_13933,2020-03-31,8,3,12.16,6.08,8.0,15,0
TRID_93310,CID_12928,2020-02-05,7,3,34.88,7.51,8.51,17,1
TRID_7238,CID_6770,2020-02-02,12,3,14.88,7.05,9.45,19,1
TRID_80013,CID_8705,2020-01-03,3,2,22.56,5.37,4.37,7,1
TRID_90565,CID_5050,2020-02-17,4,2,10.96,4.42,5.06,9,0
TRID_66263,CID_7985,2020-01-28,4,3,7.52,7.43,2.7,6,1
TRID_31973,CID_8107,2020-03-05,3,2,13.84,4.2,4.79,10,1
TRID_27089,CID_13736,2020-01-31,5,5,17.76,11.01,4.85,10,0
TRID_29129,CID_7460,2020-02-17,4,3,14.16,7.02,7.4,14,0
TRID_23962,CID_13563,2020-02-01,2,2,16.8,4.71,8.19,17,1
TRID_32842,CID_8026,2020-01-09,6,3,9.76,6.29,5.69,13,0
TRID_77328,CID_13814,2020-02-02,5,3,14.72,6.21,7.37,15,0
TRID_543,CID_5980,2020-03-23,2,2,8.64,5.66,5.39,10,0
TRID_93210,CID_7067,2020-01-30,7,5,11.04,10.3,2.74,7,0
TRID_96071,CID_9084,2020-01-20,5,4,12.48,9.68,7.5,15,1
TRID_26798,CID_9212,2020-01-01,4,3,16.0,7.11,5.33,10,1
TRID_87202,CID_9776,2020-02-14,10,4,17.92,9.55,2.83,6,0
TRID_98127,CID_9457,2020-01-18,7,2,11.44,5.46,5.33,11,0
TRID_42656,CID_5285,2020-02-23,5,3,11.36,6.66,5.37,12,0
TRID_73828,CID_10870,2020-02-06,6,3,11.92,7.63,3.01,7,0
TRID_94349,CID_13148,2020-03-27,4,4,16.64,8.73,7.06,14,0
TRID_56936,CID_9817,2020-02-22,6,2,19.76,4.79,5.61,12,0
TRID_96357,CID_5863,2020-02-07,8,3,6.64,6.54,5.91,12,0
TRID_63976,CID_5371,2020-02-24,15,3,13.2,7.42,6.43,13,1
TRID_59438,CID_7900,2020-01-19,4,3,11.84,6.81,4.36,9,0
TRID_83203,CID_8684,2020-03-18,7,2,11.28,5.93,5.15,10,1
TRID_32892,CID_8199,2020-02-19,4,1,13.6,3.55,5.69,12,0
TRID_56127,CID_8234,2020-03-06,6,4,8.16,8.11,5.32,10,0
TRID_98052,CID_6226,2020-03-26,5,3,16.0,7.58,7.55,15,0
TRID_75419,CID_14762,2020-02-11,4,4,29.52,9.04,9.92,19,0
TRID_31960,CID_8962,2020-03-16,11,3,13.04,7.16,4.37,10,1
TRID_94616,CID_8486,2020-01-12,2,2,13.68,5.94,4.65,10,0
TRID_57539,CID_11802,2020-01-15,5,3,34.32,7.71,4.66,10,1
TRID_98122,CID_14369,2020-02-24,5,3,13.04,6.91,6.17,13,1
TRID_90463,CID_14416,2020-01-15,3,2,12.32,5.72,7.14,14,1
TRID_16628,CID_13008,2020-02-26,3,3,10.88,6.15,5.65,11,0
TRID_97250,CID_10653,2020-01-15,3,3,26.48,7.99,5.48,11,0
TRID_95589,CID_10980,2020-02-19,3,3,9.68,6.51,3.05,5,0
TRID_67933,CID_14609,2020-02-18,4,3,6.96,6.82,4.01,8,0
TRID_34772,CID_9230,2020-03-22,7,4,44.96,9.68,2.48,7,1
TRID_48165,CID_9537,2020-01-22,3,3,14.64,6.5,6.49,15,0
TRID_78312,CID_9865,2020-03-26,7,2,14.16,5.17,5.72,13,0
TRID_31678,CID_12138,2020-02-01,15,3,8.64,6.9,5.61,11,1
TRID_5369,CID_12003,2020-01-12,5,4,11.68,8.14,3.27,7,0
TRID_69685,CID_10236,2020-01-28,3,3,13.12,6.46,9.06,18,0
TRID_65704,CID_5741,2020-01-04,4,3,13.2,6.7,5.31,10,0
TRID_75654,CID_9823,2020-02-15,5,4,12.08,8.43,3.61,8,1
TRID_51154,CID_13049,2020-01-15,4,3,13.76,6.22,4.67,10,0
TRID_69055,CID_10649,2020-01-27,2,2,9.2,5.08,2.22,4,1
TRID_83292,CID_7037,2020-01-04,3,3,10.32,7.0,8.34,15,1
TRID_49150,CID_14944,2020-02-25,2,2,18.8,5.42,4.91,10,1
TRID_15571,CID_5246,2020-03-31,3,2,13.12,5.39,2.31,6,0
TRID_95547,CID_13492,2020-01-09,3,2,9.6,5.4,6.03,11,0
TRID_21867,CID_10931,2020-03-01,2,2,12.24,5.44,5.36,11,0
TRID_1734,CID_11186,2020-03-10,5,5,11.68,10.12,3.8,8,0
TRID_95743,CID_14820,2020-01-28,5,3,17.6,6.95,4.68,11,1
TRID_46964,CID_5667,2020-03-11,4,2,15.76,5.25,5.96,11,0
TRID_27095,CID_14820,2020-02-23,8,4,9.04,9.0,4.24,9,0
TRID_55199,CID_5039,2020-03-01,7,3,15.28,7.02,3.76,10,0
TRID_71749,CID_9316,2020-01-04,2,2,11.52,5.13,6.51,14,1
TRID_51770,CID_11554,2020-03-05,15,2,30.0,4.47,7.02,14,1
TRID_85595,CID_11411,2020-03-28,3,3,10.4,7.49,4.95,11,1
TRID_7624,CID_8325,2020-03-28,5,3,12.24,7.78,6.29,14,0
TRID_70344,CID_5117,2020-03-09,4,4,11.84,8.91,5.62,11,1
TRID_79290,CID_13785,2020-02-07,2,2,25.28,5.92,4.39,7,1
TRID_35833,CID_6118,2020-02-22,4,4,18.88,8.51,5.86,13,0
TRID_72211,CID_14772,2020-01-03,5,4,27.36,8.56,7.35,14,1
TRID_16913,CID_9970,2020-02-24,8,5,12.72,10.8,3.82,9,0
TRID_83968,CID_7894,2020-02-26,1,1,8.32,2.5,7.62,15,1
TRID_27328,CID_5994,2020-02-05,6,4,15.44,8.03,5.74,12,0
TRID_20203,CID_7443,2020-02-03,4,3,18.16,7.17,4.28,9,0
TRID_25075,CID_12618,2020-03-18,5,4,13.28,8.56,2.96,6,0
TRID_31742,CID_11650,2020-03-19,5,2,18.4,4.74,4.58,9,0
TRID_51242,CID_14918,2020-03-22,3,3,13.52,7.83,5.16,11,0
TRID_12879,CID_8872,2020-03-22,7,4,15.92,9.99,5.59,11,0
TRID_80573,CID_6703,2020-02-19,10,3,12.16,7.2,4.88,12,0
TRID_53572,CID_5863,2020-03-19,2,2,11.12,5.8,3.34,7,1
TRID_96387,CID_7572,2020-03-03,4,4,14.56,9.05,4.66,10,0
TRID_94592,CID_10454,2020-02-09,4,3,22.88,7.64,9.14,18,1
TRID_5011,CID_14610,2020-03-21,2,2,15.52,5.76,8.38,16,1
TRID_97941,CID_13168,2020-03-24,4,3,7.44,7.01,3.84,6,0
TRID_33742,CID_11283,2020-02-23,9,2,17.6,5.69,5.33,11,0
TRID_79076,CID_5889,2020-02-22,7,3,7.52,6.41,5.23,11,1
TRID_26343,CID_6464,2020-02-11,7,4,12.88,9.05,8.91,17,0
TRID_5322,CID_9230,2020-03-25,12,4,9.12,8.51,9.31,18,1
TRID_65520,CID_11868,2020-01-16,2,2,18.08,6.0,4.73,11,0
TRID_60816,CID_11802,2020-01-25,10,3,11.28,6.53,2.57,6,0
TRID_37819,CID_5966,2020-02-22,4,3,28.4,6.73,7.44,14,1
TRID_52537,CID_6285,2020-01-24,6,3,8.24,7.5,6.44,14,0
TRID_28677,CID_14004,2020-03-06,7,2,14.56,4.81,7.29,15,0
TRID_64591,CID_14724,2020-02-28,3,3,7.92,7.25,4.51,9,0
TRID_82068,CID_12093,2020-02-19,7,4,11.84,9.23,8.13,15,0
TRID_89221,CID_6134,2020-02-03,4,4,10.96,8.78,9.3,19,0
TRID_65021,CID_12988,2020-03-30,8,3,30.4,7.93,2.44,6,1
TRID_1261,CID_9752,2020-02-25,1,1,16.72,3.32,9.3,18,1
TRID_81179,CID_14973,2020-01-23,11,2,11.12,5.82,5.19,10,1
TRID_12677,CID_7247,2020-03-08,2,2,20.56,4.82,6.4,12,0
TRID_70575,CID_12647,2020-03-01,6,4,21.28,9.08,8.77,16,0
TRID_85152,CID_13023,2020-02-29,5,2,5.36,4.62,7.32,14,0
TRID_27691,CID_9485,2020-01-15,10,3,13.6,6.9,3.92,7,1
TRID_64005,CID_12432,2020-01-26,5,4,34.48,9.45,5.0,10,0
TRID_22836,CID_14620,2020-03-10,6,2,9.04,4.97,6.13,11,0
TRID_12166,CID_8569,2020-03-30,4,2,14.8,5.82,6.74,14,1
TRID_63229,CID_5131,2020-02-06,5,4,14.0,9.36,4.61,10,0
TRID_80914,CID_14364,2020-02-05,7,3,12.16,6.61,5.74,11,0
TRID_3843,CID_10519,2020-03-13,11,4,13.92,9.81,4.33,10,0
TRID_20565,CID_12056,2020-03-25,4,4,18.16,8.3,7.6,14,0
TRID_13668,CID_7188,2020-01-29,10,3,19.68,7.48,7.25,13,0
TRID_23657,CID_9292,2020-01-10,4,1,7.52,3.84,7.34,14,1
TRID_58631,CID_11552,2020-01-02,4,2,11.92,5.43,6.22,13,0
TRID_67843,CID_7164,2020-01-26,6,2,9.44,5.57,1.4,4,0
TRID_15234,CID_10603,2020-02-24,8,3,11.76,7.45,5.34,12,0
TRID_40363,CID_6935,2020-02-20,8,5,12.08,11.83,7.6,16,0
TRID_18471,CID_8066,2020-02-22,3,2,16.32,5.6,6.38,13,1
TRID_87530,CID_9106,2020-03-04,4,4,14.24,8.79,5.56,10,0
TRID_2774,CID_13431,2020-01-05,4,4,17.76,8.12,7.47,15,0
TRID_3983,CID_6385,2020-01-09,5,5,16.0,11.39,8.7,17,0
TRID_15375,CID_8486,2020-02-16,5,4,9.44,8.52,8.67,16,0
TRID_1903,CID_10074,2020-01-31,9,4,9.68,8.15,5.68,11,1
TRID_98099,CID_8992,2020-01-07,4,3,8.0,7.67,5.48,11,1
TRID_92374,CID_7910,2020-02-24,5,3,14.48,6.98,4.86,10,0
TRID_82298,CID_11013,2020-01-14,10,4,17.76,8.83,5.29,11,0
TRID_27503,CID_10435,2020-02-26,9,3,18.08,6.05,4.51,11,0
TRID_2639,CID_9485,2020-02-08,3,3,23.12,7.73,3.72,7,0
TRID_85235,CID_12160,2020-01-08,8,4,14.88,8.9,6.32,12,0
TRID_90377,CID_8238,2020-02-17,6,4,16.08,9.23,9.54,19,0
TRID_70538,CID_10351,2020-03-08,6,4,14.16,8.69,7.48,14,0
TRID_32727,CID_10991,2020-03-13,6,3,7.68,6.99,5.55,11,0
TRID_15957,CID_7164,2020-03-20,2,2,22.8,5.98,6.04,11,1
TRID_89595,CID_10104,2020-02-13,3,2,11.92,4.75,3.21,7,0
TRID_65890,CID_8926,2020-01-06,11,4,18.72,8.76,6.84,14,0
TRID_39738,CID_9566,2020-03-04,8,3,17.92,7.98,7.48,14,0
TRID_36761,CID_8280,2020-01-19,3,2,7.6,5.15,3.17,6,0
TRID_32934,CID_13944,2020-03-01,6,4,13.12,8.28,3.9,9,0
TRID_96134,CID_5620,2020-03-27,6,4,13.92,8.86,5.92,13,0
TRID_45284,CID_6391,2020-01-13,3,3,19.84,6.46,6.11,13,0
TRID_93919,CID_13037,2020-01-08,2,2,10.48,4.12,5.75,11,0
TRID_42073,CID_14438,2020-03-03,9,2,15.76,4.7,6.24,13,0
TRID_74070,CID_13239,2020-02-17,4,2,8.4,4.35,4.71,11,1
TRID_94605,CID_11185,2020-03-15,7,6,16.4,12.09,5.22,11,0
TRID_96505,CID_10115,2020-03-29,6,4,28.88,8.02,6.96,13,1
TRID_52177,CID_11842,2020-02-02,7,5,18.72,10.28,5.61,14,0
TRID_55016,CID_6796,2020-03-29,6,4,9.52,9.39,7.35,14,0
TRID_18220,CID_14656,2020-01-22,3,3,9.28,7.04,6.84,14,1
TRID_65443,CID_6955,2020-02-21,5,4,8.72,8.46,7.27,14,1
TRID_29644,CID_11621,2020-01-07,6,2,4.72,4.53,3.89,8,0
TRID_11874,CID_13981,2020-03-30,5,3,17.52,7.42,5.97,12,0
TRID_79418,CID_7533,2020-01-31,3,2,9.6,4.8,7.19,14,0
TRID_46831,CID_14559,2020-01-15,3,3,12.96,6.84,2.71,7,0
TRID_29424,CID_9502,2020-01-21,5,2,25.44,4.85,6.96,14,1
TRID_50823,CID_13853,2020-01-14,3,3,9.92,7.02,4.17,9,0
TRID_78172,CID_7641,2020-03-23,11,2,7.2,5.09,6.19,13,1
TRID_4642,CID_9817,2020-01-18,4,4,11.84,9.58,4.73,11,0
TRID_84153,CID_14606,2020-03-10,4,4,9.6,8.08,6.78,15,1
TRID_42909,CID_14216,2020-03-21,6,4,22.48,8.15,3.95,8,1
TRID_45963,CID_6400,2020-02-08,5,2,10.72,5.17,4.97,10,0
TRID_65224,CID_14909,2020-03-07,6,2,7.36,4.78,10.21,19,1
TRID_42995,CID_5870,2020-03-17,5,3,15.84,7.75,3.89,8,0
TRID_9547,CID_7513,2020-02-05,4,2,27.44,5.49,6.51,13,1
TRID_76567,CID_12557,2020-01-03,5,3,18.88,6.47,4.87,9,0
TRID_75229,CID_10300,2020-02-20,6,3,23.2,6.81,8.01,15,0
TRID_59018,CID_6657,2020-03-19,14,4,10.32,9.37,7.01,14,1
TRID_76184,CID_10478,2020-03-17,9,3,8.4,7.55,8.63,17,0
TRID_87151,CID_6050,2020-01-10,3,2,9.12,5.79,4.99,10,1
TRID_33934,CID_13346,2020-03-28,11,3,17.6,7.95,4.21,10,1
TRID_22383,CID_12432,2020-02-15,4,2,10.96,5.4,4.41,8,0
TRID_63490,CID_9376,2020-01-15,4,2,6.96,5.36,4.27,8,0
TRID_69213,CID_9485,2020-02-15,9,4,11.6,9.77,5.58,11,1
TRID_86889,CID_12040,2020-01-23,13,3,19.2,6.45,6.3,13,1
TRID_59482,CID_9864,2020-02-15,2,2,17.04,5.93,8.09,15,0
TRID_97948,CID_9669,2020-01-10,11,4,10.16,8.84,8.69,17,1
TRID_64978,CID_10979,2020-01-11,6,4,16.64,9.19,4.83,10,0
TRID_52332,CID_10054,2020-03-19,3,2,7.6,5.52,2.32,4,0
TRID_74247,CID_7405,2020-03-25,5,4,16.8,8.66,6.57,13,0
TRID_52175,CID_12530,2020-01-19,9,2,11.52,4.78,3.12,6,1
TRID_62112,CID_10435,2020-01-18,5,2,4.96,4.31,8.27,17,0
TRID_272,CID_9811,2020-02-03,5,4,21.12,9.06,5.47,12,0
TRID_11227,CID_8950,2020-02-04,3,3,9.36,7.92,10.84,20,1
TRID_19479,CID_5204,2020-01-04,5,3,14.16,7.1,6.15,13,0
TRID_73951,CID_6626,2020-02-04,3,2,9.68,5.46,4.27,9,0
TRID_55558,CID_11081,2020-03-31,3,1,7.52,3.99,1.98,6,0
TRID_88185,CID_13405,2020-03-08,3,3,7.12,6.5,3.05,5,1
TRID_37096,CID_12423,2020-01-22,4,4,9.44,8.59,3.99,9,0
TRID_61568,CID_5519,2020-02-27,4,2,5.6,4.76,7.81,16,0
TRID_72226,CID_5492,2020-01-08,7,2,34.24,5.34,8.41,19,1
TRID_80120,CID_12251,2020-03-04,6,4,20.24,8.2,7.68,15,0
TRID_60969,CID_6459,2020-03-16,8,3,8.0,7.17,4.69,10,0
TRID_31352,CID_10098,2020-01-17,4,3,20.4,6.9,5.76,12,0
TRID_42785,CID_14249,2020-03-10,8,2,14.0,5.9,4.01,8,0
TRID_40645,CID_8926,2020-02-23,4,4,13.6,9.4,4.89,9,0
TRID_70074,CID_10291,2020-01-18,2,2,18.56,4.9,7.08,14,1
TRID_97469,CID_8185,2020-01-08,11,2,12.24,5.03,4.99,11,1
TRID_8,CID_8474,2020-02-04,4,4,12.08,9.11,6.27,12,0
TRID_12675,CID_8704,2020-02-19,2,2,10.32,5.79,2.95,6,1
TRID_36797,CID_8750,2020-02-18,6,4,10.4,9.23,3.78,7,0
TRID_82732,CID_12925,2020-01-13,4,3,16.72,7.82,8.21,15,0
TRID_93804,CID_12348,2020-03-13,9,1,10.48,3.73,4.89,10,1
TRID_70024,CID_12013,2020-03-03,10,4,17.84,8.88,5.93,12,0
TRID_89389,CID_12137,2020-01-14,10,3,8.96,6.04,6.49,14,0
TRID_96009,CID_14313,2020-03-17,6,5,12.72,10.22,6.99,12,0
TRID_90647,CID_10018,2020-01-21,5,2,7.76,5.18,3.29,6,0
TRID_40527,CID_5394,2020-02-19,3,3,11.2,7.8,6.29,12,0
TRID_64012,CID_13151,2020-03-09,5,3,7.36,7.04,6.11,13,0
TRID_37685,CID_12313,2020-03-09,6,2,13.12,5.11,5.3,10,0
TRID_20645,CID_8302,2020-03-30,3,3,8.0,7.81,5.77,12,0
TRID_3412,CID_9018,2020-01-18,6,4,9.68,8.48,5.4,11,0
TRID_70351,CID_12647,2020-02-18,8,2,6.56,5.29,3.13,8,1
TRID_55198,CID_5106,2020-01-25,7,3,7.52,7.26,4.86,10,1
TRID_29182,CID_6543,2020-03-21,5,3,10.88,7.6,7.14,13,0
TRID_52671,CID_10649,2020-02-22,4,3,15.92,7.81,8.77,16,0
TRID_77617,CID_9321,2020-02-22,4,3,10.4,6.55,7.08,13,0
TRID_17751,CID_14980,2020-03-14,3,3,8.56,6.68,4.55,11,0
TRID_67610,CID_9670,2020-02-24,4,3,16.16,6.3,7.82,16,0
TRID_49452,CID_5010,2020-02-15,6,3,8.32,7.73,5.76,11,1
TRID_49409,CID_12197,2020-03-19,7,2,10.72,5.84,1.65,4,0
TRID_84814,CID_10717,2020-01-20,7,4,11.44,8.9,7.65,16,0
TRID_39306,CID_14663,2020-03-02,5,5,17.52,10.3,8.41,15,0
TRID_43363,CID_6902,2020-03-06,5,4,11.36,8.34,5.9,11,0
TRID_38524,CID_12188,2020-01-22,5,4,16.8,8.99,7.82,17,0
TRID_89824,CID_14408,2020-03-29,3,2,14.4,5.78,6.32,13,0
TRID_63270,CID_9854,2020-02-04,3,3,22.56,6.36,2.04,5,0
TRID_20409,CID_8691,2020-03-02,6,2,6.64,5.23,6.35,11,0
TRID_61738,CID_12556,2020-03-16,6,4,13.04,8.29,7.21,13,0
TRID_33971,CID_5509,2020-02-06,3,2,9.52,4.6,7.8,16,0
TRID_41411,CID_14769,2020-02-25,5,2,22.72,5.54,6.8,14,0
TRID_24097,CID_5943,2020-03-02,8,5,11.2,10.02,4.75,11,0
TRID_13013,CID_11930,2020-01-02,8,4,15.36,9.86,6.9,13,0
TRID_56988,CID_8486,2020-03-29,10,4,15.52,8.45,9.85,18,0
TRID_91735,CID_11171,2020-02-12,6,3,15.2,6.78,7.0,12,0
TRID_59872,CID_13934,2020-02-16,6,3,23.36,7.97,6.56,14,0
TRID_55843,CID_9009,2020-01-23,6,2,6.88,5.0,4.5,9,0
TRID_6316,CID_9391,2020-01-23,5,3,13.36,7.53,4.5,9,0
TRID_12017,CID_11279,2020-01-30,3,3,12.96,6.89,3.54,7,0
TRID_59022,CID_8241,2020-01-01,7,2,13.84,5.97,2.21,6,0
TRID_50262,CID_7084,2020-02-01,5,3,10.96,6.59,7.91,16,0
TRID_53362,CID_12282,2020-02-02,4,3,19.52,7.9,3.45,7,0
TRID_34271,CID_8818,2020-02-26,5,2,10.0,5.51,7.76,15,0
TRID_1667,CID_12086,2020-03-03,7,2,15.36,5.71,6.22,13,0
TRID_84307,CID_13020,2020-01-07,1,1,5.68,3.66,8.6,15,0
TRID_75406,CID_5650,2020-01-08,4,4,11.92,8.55,4.92,10,0
TRID_21159,CID_12908,2020-01-30,2,2,11.76,5.81,7.76,15,0
TRID_21367,CID_10182,2020-01-13,3,3,10.32,7.72,8.82,17,0
TRID_8438,CID_11552,2020-03-21,4,3,18.48,7.68,3.07,8,0
TRID_6706,CID_10448,2020-01-04,5,4,15.6,8.95,7.12,14,0
TRID_94562,CID_6426,2020-01-25,5,3,11.76,7.48,9.37,18,0
TRID_80064,CID_14192,2020-01-29,2,2,11.52,4.7,5.43,13,0
TRID_93443,CID_13727,2020-03-10,1,1,16.96,3.67,8.9,18,0
TRID_275,CID_11858,2020-02-05,9,5,22.72,11.83,4.8,11,0
TRID_81448,CID_12217,2020-03-13,4,4,9.12,8.65,7.07,14,0
TRID_99248,CID_10313,2020-02-09,3,3,11.28,7.69,7.53,15,0
TRID_36124,CID_8241,2020-03-17,6,2,12.0,5.1,3.2,6,0
TRID_10242,CID_9374,2020-02-03,4,4,18.16,9.03,3.44,8,0
TRID_12344,CID_5750,2020-01-11,6,5,15.76,10.47,6.36,12,0
TRID_36227,CID_7015,2020-01-31,5,3,7.44,7.17,5.42,12,0
TRID_26871,CID_14102,2020-01-30,6,4,11.04,9.04,4.39,10,0
TRID_7322,CID_7549,2020-01-28,4,2,8.64,5.3,7.13,14,0
TRID_46058,CID_12596,2020-01-30,2,2,9.2,4.19,5.61,12,0
TRID_8855,CID_13307,2020-02-14,6,4,22.24,8.87,7.22,13,0
TRID_2549,CID_9266,2020-02-20,7,3,14.96,7.73,4.75,9,0
TRID_23656,CID_12568,2020-03-21,3,1,6.64,3.05,6.98,13,0
TRID_41431,CID_14636,2020-03-25,9,3,18.32,7.86,9.94,20,0
TRID_4687,CID_10295,2020-01-07,3,3,14.72,7.74,4.37,9,0
TRID_44677,CID_6217,2020-01-05,9,5,16.64,10.7,2.43,6,0
TRID_28015,CID_9143,2020-02-27,6,5,13.84,10.52,7.82,17,0
TRID_25676,CID_12636,2020-03-11,6,3,28.16,7.44,8.42,17,0
TRID_92807,CID_12436,2020-01-23,4,3,25.2,6.91,8.49,16,0
TRID_1513,CID_13253,2020-02-22,5,4,25.52,9.23,3.56,8,0
TRID_82743,CID_13679,2020-03-05,5,4,9.2,8.38,3.5,7,0
TRID_28970,CID_13642,2020-03-04,6,3,8.72,6.71,1.33,4,0
TRID_72140,CID_10466,2020-01-29,4,4,15.04,9.17,5.9,12,0
TRID_74696,CID_8022,2020-02-24,4,3,11.84,6.84,6.28,12,0
TRID_35583,CID_5620,2020-02-24,7,3,8.64,7.78,9.87,19,0
TRID_57731,CID_14529,2020-02-01,8,3,8.24,7.5,6.85,12,0
TRID_19405,CID_6787,2020-02-23,5,4,9.2,8.38,8.51,16,0
TRID_77276,CID_12485,2020-01-21,4,4,13.2,9.87,9.59,18,0
TRID_84770,CID_8706,2020-03-24,6,2,19.76,4.83,5.61,10,0
TRID_72742,CID_6778,2020-03-06,2,2,18.72,5.99,5.59,10,0
TRID_78959,CID_8261,2020-01-10,7,4,16.48,8.76,6.5,13,0
TRID_46708,CID_10909,2020-02-28,4,2,9.28,5.98,4.7,8,0
TRID_84546,CID_8965,2020-01-29,5,4,18.4,8.39,5.1,9,0
